tile,exclude,tif_download,tif_reproject,chip,filter_chips
15SWC,False,False,False,False,False
11TQH,False,False,False,False,False
11TMM,False,False,False,False,False
14TPN,False,False,False,False,False
16SBE,False,False,False,False,False
13TFG,False,False,False,False,False
12TVM,False,False,False,False,False
15TYJ,False,False,False,False,False
13TEK,False,False,False,False,False
16SEA,False,False,False,False,False
12TUM,False,False,False,False,False
17SMR,False,False,False,False,False
15TXG,False,False,False,False,False
12UXU,False,False,False,False,False
11TMJ,False,False,False,False,False
17TPJ,False,False,False,False,False
14TPL,False,False,False,False,False
14SMB,False,False,False,False,False
11TMK,False,False,False,False,False
14RPR,False,False,False,False,False
17TPE,False,False,False,False,False
10TDT,False,False,False,False,False
17RKP,False,False,False,False,False
17SMT,False,False,False,False,False
14SQC,False,False,False,False,False
16RDV,False,False,False,False,False
15SWD,False,False,False,False,False
15SXV,False,False,False,False,False
12TXT,False,False,False,False,False
16TFQ,False,False,False,False,False
10TEM,False,False,False,False,False
14TQQ,False,False,False,False,False
15RVP,False,False,False,False,False
17RMK,False,False,False,False,False
15STD,False,False,False,False,False
15RXQ,False,False,False,False,False
10TFR,False,False,False,False,False
17SLS,False,False,False,False,False
16TDR,False,False,False,False,False
10TFS,False,False,False,False,False
15TUJ,False,False,False,False,False
18STF,False,False,False,False,False
16SCB,False,False,False,False,False
14RNR,False,False,False,False,False
15SUB,False,False,False,False,False
12TWS,False,False,False,False,False
14TNP,False,False,False,False,False
13SGD,False,False,False,False,False
14TPS,False,False,False,False,False
15TWH,False,False,False,False,False
18TUL,False,False,False,False,False
14UQU,False,False,False,False,False
11TNL,False,False,False,False,False
15SXC,False,False,False,False,False
16SCJ,False,False,False,False,False
10SGD,False,False,False,False,False
12UUU,False,False,False,False,False
13UCP,False,False,False,False,False
15STC,False,False,False,False,False
16REV,False,False,False,False,False
15TWF,False,False,False,False,False
13UFQ,False,False,False,False,False
11SPS,False,False,False,False,False
13SCR,False,False,False,False,False
16TCM,False,False,False,False,False
15TUH,False,False,False,False,False
14TMQ,False,False,False,False,False
17SKD,False,False,False,False,False
15SVD,False,False,False,False,False
10SFH,False,False,False,False,False
15TTG,False,False,False,False,False
15SVU,False,False,False,False,False
14TNN,False,False,False,False,False
14SME,False,False,False,False,False
12UVU,False,False,False,False,False
13TFN,False,False,False,False,False
13SFB,False,False,False,False,False
16TFK,False,False,False,False,False
10TDS,False,False,False,False,False
15TXH,False,False,False,False,False
18TVN,False,False,False,False,False
14TKK,False,False,False,False,False
16SFG,False,False,False,False,False
15TUE,False,False,False,False,False
17SLD,False,False,False,False,False
12SYF,False,False,False,False,False
13TEG,False,False,False,False,False
17SPU,False,False,False,False,False
15TVE,False,False,False,False,False
16TBL,False,False,False,False,False
14RNT,False,False,False,False,False
18TTL,False,False,False,False,False
16SFJ,False,False,False,False,False
10TGS,False,False,False,False,False
13SBC,False,False,False,False,False
16SGJ,False,False,False,False,False
15RWQ,False,False,False,False,False
14TLL,False,False,False,False,False
16SDB,False,False,False,False,False
15SWR,False,False,False,False,False
10UGU,False,False,False,False,False
15SXT,False,False,False,False,False
14UQV,False,False,False,False,False
15RXP,False,False,False,False,False
10UEV,False,False,False,False,False
16SCC,False,False,False,False,False
16SEJ,False,False,False,False,False
15TUF,False,False,False,False,False
13UFP,False,False,False,False,False
16SCD,False,False,False,False,False
14TMN,False,False,False,False,False
16SFH,False,False,False,False,False
11TLN,False,False,False,False,False
15SVT,False,False,False,False,False
15SYB,False,False,False,False,False
14UNV,False,False,False,False,False
12SUB,False,False,False,False,False
14TPK,False,False,False,False,False
16TDM,False,False,False,False,False
17RML,False,False,False,False,False
16TEK,False,False,False,False,False
11UMP,False,False,False,False,False
18TVQ,False,False,False,False,False
10TFM,False,False,False,False,False
14SQJ,False,False,False,False,False
17RMN,False,False,False,False,False
12TVN,False,False,False,False,False
13TDM,False,False,False,False,False
13TDG,False,False,False,False,False
15RTP,False,False,False,False,False
17TNF,False,False,False,False,False
13TEF,False,False,False,False,False
12SXG,False,False,False,False,False
17RLN,False,False,False,False,False
10TGL,False,False,False,False,False
15STB,False,False,False,False,False
12TXQ,False,False,False,False,False
16RFU,False,False,False,False,False
11SKD,False,False,False,False,False
15SUT,False,False,False,False,False
14SKJ,False,False,False,False,False
12TUP,False,False,False,False,False
14SMC,False,False,False,False,False
14RMT,False,False,False,False,False
18STH,False,False,False,False,False
10UFU,False,False,False,False,False
12TTM,False,False,False,False,False
17SQC,False,False,False,False,False
15SXR,False,False,False,False,False
14SLB,False,False,False,False,False
15RYQ,False,False,False,False,False
13TDF,False,False,False,False,False
13TFL,False,False,False,False,False
12UWV,False,False,False,False,False
15RYP,False,False,False,False,False
15SVV,False,False,False,False,False
14SNG,False,False,False,False,False
14RQS,False,False,False,False,False
10TDM,False,False,False,False,False
10SGG,False,False,False,False,False
15TUG,False,False,False,False,False
15STA,False,False,False,False,False
10SEH,False,False,False,False,False
13UDQ,False,False,False,False,False
17SKC,False,False,False,False,False
17SKS,False,False,False,False,False
14TML,False,False,False,False,False
15TYF,False,False,False,False,False
17RLP,False,False,False,False,False
17SPV,False,False,False,False,False
12TVL,False,False,False,False,False
11TNK,False,False,False,False,False
11TQJ,False,False,False,False,False
15TWN,False,False,False,False,False
14TPP,False,False,False,False,False
16TDK,False,False,False,False,False
13TEL,False,False,False,False,False
16TEQ,False,False,False,False,False
14SLD,False,False,False,False,False
16SEB,False,False,False,False,False
12TXS,False,False,False,False,False
14SNE,False,False,False,False,False
12TUL,False,False,False,False,False
17SPT,False,False,False,False,False
13TEM,False,False,False,False,False
12TYT,False,False,False,False,False
14SMD,False,False,False,False,False
12TVS,False,False,False,False,False
10SFE,False,False,False,False,False
11SLD,False,False,False,False,False
13TGE,False,False,False,False,False
14UPV,False,False,False,False,False
14TQP,False,False,False,False,False
14SNF,False,False,False,False,False
15SXS,False,False,False,False,False
17RLM,False,False,False,False,False
17SNA,False,False,False,False,False
18TUM,False,False,False,False,False
13SGT,False,False,False,False,False
12TYP,False,False,False,False,False
19TEM,False,False,False,False,False
14SNC,False,False,False,False,False
15TUN,False,False,False,False,False
14SPE,False,False,False,False,False
15SYV,False,False,False,False,False
15RWP,False,False,False,False,False
18SUE,False,False,False,False,False
15SUR,False,False,False,False,False
10TES,False,False,False,False,False
13SEC,False,False,False,False,False
15RUP,False,False,False,False,False
14RQV,False,False,False,False,False
10SFG,False,False,False,False,False
12TXK,False,False,False,False,False
18TXN,False,False,False,False,False
16TCK,False,False,False,False,False
10TGT,False,False,False,False,False
16SBD,False,False,False,False,False
14TQN,False,False,False,False,False
17TNG,False,False,False,False,False
15STR,False,False,False,False,False
13TGK,False,False,False,False,False
10SDJ,False,False,False,False,False
17SNS,False,False,False,False,False
18TUP,False,False,False,False,False
14TPM,False,False,False,False,False
